breed_a,breed_b,compatibility_score,recommended,notes
Charolais,Brahman,0.70,Yes,Growth in hot climates
Charolais,Simmental,0.75,Yes,Growth-focused combination
Charolais,Brown Swiss,0.65,Yes,Growth with dairy influence
Charolais,Guernsey,0.50,No,Different production goals
Charolais,Ayrshire,0.55,Yes,Growth with hardiness
Charolais,Gir,0.60,Yes,Growth with heat adaptation
Charolais,Sahiwal,0.60,Yes,Growth potential in warm regions
Guernsey,Jersey,0.90,Yes,High butterfat milk production
Guernsey,Holstein,0.70,Yes,Balanced milk production
Guernsey,Brown Swiss,0.80,Yes,Quality milk with good components
Guernsey,Angus,0.65,Yes,Good beef with dairy influence
Guernsey,Hereford,0.60,Yes,Mixed dairy-beef traits
Guernsey,Brahman,0.45,No,Climate and production goal differences
Guernsey,Simmental,0.60,Yes,Mixed production goals
Guernsey,Charolais,0.50,No,Different production goals
Guernsey,Limousin,0.45,No,Conflicting production focus
Guernsey,Ayrshire,0.75,Yes,Complementary dairy traits
Guernsey,Gir,0.60,Yes,Dairy focus with heat tolerance
Guernsey,Sahiwal,0.60,Yes,Dairy with heat adaptation
Brown Swiss,Holstein,0.85,Yes,Good milk production with protein content
Brown Swiss,Jersey,0.80,Yes,Quality milk with good components
Brown Swiss,Guernsey,0.80,Yes,Excellent milk components
Brown Swiss,Angus,0.70,Yes,Good beef traits with dairy influence
Brown Swiss,Hereford,0.65,Yes,Good beef with dairy influence
Brown Swiss,Brahman,0.55,No,Mixed climate adaptations
Brown Swiss,Simmental,0.70,Yes,Dual purpose capabilities
Brown Swiss,Charolais,0.65,Yes,Growth with dairy influence
Brown Swiss,Limousin,0.60,Yes,Mixed dairy-beef traits
Brown Swiss,Ayrshire,0.75,Yes,Solid dairy combination
Brown Swiss,Gir,0.65,Yes,Dairy with heat adaptation
Brown Swiss,Sahiwal,0.65,Yes,Good milk in varied climates
